[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004744s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004972s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002987s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003295s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001841s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001996s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.004458s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004860s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002371s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002614s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.013066s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.013503s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.079861s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.080117s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.004803s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.005660s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004206s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.005300s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.020792s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.005612s ]
[ 2014-11-22T08:42:14+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.005901s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.005230s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005632s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002425s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002648s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.007763s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.008078s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.044248s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044568s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.001765s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.003136s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001302s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002429s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009379s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002972s ]
[ 2014-11-22T08:42:35+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003233s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.003409s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003736s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002081s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002278s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.008321s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.008585s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.044390s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044749s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.001417s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.001705s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001099s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002190s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007009s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001886s ]
[ 2014-11-22T08:42:40+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002086s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.006163s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.006491s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005197s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005420s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.008760s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.008984s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.059512s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059734s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.003471s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.003999s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003118s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.004856s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015970s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004784s ]
[ 2014-11-22T08:43:26+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004986s ]
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.007398s ]
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.007884s ]
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006411s ]
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006640s ]
[ 2014-11-22T08:44:01+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.009378s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.009635s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.081667s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081941s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.005016s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.005064s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003849s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.004070s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018658s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003896s ]
[ 2014-11-22T08:44:02+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004098s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.006703s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.007095s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005351s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005574s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.008265s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.008497s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.063506s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063738s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.003482s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.004275s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003467s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.005468s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017259s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004530s ]
[ 2014-11-22T08:44:23+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004727s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.008053s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.008414s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006377s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006668s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.010591s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.010874s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.050494s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050735s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.003695s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.003995s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003261s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.005059s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016560s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004131s ]
[ 2014-11-22T08:46:48+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004320s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.003628s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004086s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.013522s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013772s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006319s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006577s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run ParseTemplate Behavior [ RunTime:0.034727s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034973s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run ContentReplace Behavior [ RunTime:0.001432s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run TokenBuild Behavior [ RunTime:0.001636s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001007s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001812s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006437s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002593s ]
[ 2014-11-22T08:46:53+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003460s ]
[ 2014-11-22T08:47:51+08:00 ] /test/index.php/Findpwd/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:47:51+08:00 ] /test/index.php/Findpwd/index | INFO: Run CheckRoute Behavior [ RunTime:0.005056s ]
